"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'A direction of one's own' : alienation in Mrs. Dalloway and Sula","'All taken together' : ecological form in Mrs. Dalloway ; 'The sane & the insane, side by side' : the object-relations of self-management in Mrs. Dalloway ; A dialogue in books : Virginia Woolf's Mrs. Dalloway and Michael Cunningham's The hours ; A-linear time and stream of consciousness ; Biography of Virginia Woolf ; From text to tableau : ekphrastic enchantment in Mrs. Dalloway and To the lighthouse ; Mrs. Dalloway : a study in composition ; Mrs. Dalloway : portrait of the artist as a middle-aged woman ; Mrs. Dalloway and the critics ; Mrs. Dalloway, by Virginia Woolf ; Mrs. Dalloway, the dictator, and the relativity paradox ; On Mrs. Dalloway ; Reinventing grief work : Virginia Woolf's feminist representations of mourning in Mrs. Dalloway and To the lighthouse ; The 'death of the soul' in Mrs. Dalloway ; The Paris review perspective ; The pseudo-homeric world of Mrs. Dalloway ; Virginia Woolf's Mrs. Dalloway : 'a well of tears'","016008428","Monograph","Language material ; Text","Volume","","","9781587658419","","","","","Robbins, Dorothy Dodge, editor [person]","Critical insights","","United States of America","Pasadena, California","Salem","2012","","xiii, 359 pages, 24 cm","823.912","YD.2012.a.2242","Psychological fiction, English--History and criticism ; Woolf, Virginia, 1882-1941 ; Married women in literature ; Stream of consciousness fiction, English--History and criticism","Aufsatzsammlung","English","",""
"'All taken together' : ecological form in Mrs. Dalloway","'A direction of one's own' : alienation in Mrs. Dalloway and Sula ; 'The sane & the insane, side by side' : the object-relations of self-management in Mrs. Dalloway ; A dialogue in books : Virginia Woolf's Mrs. Dalloway and Michael Cunningham's The hours ; A-linear time and stream of consciousness ; Biography of Virginia Woolf ; From text to tableau : ekphrastic enchantment in Mrs. Dalloway and To the lighthouse ; Mrs. Dalloway : a study in composition ; Mrs. Dalloway : portrait of the artist as a middle-aged woman ; Mrs. Dalloway and the critics ; Mrs. Dalloway, by Virginia Woolf ; Mrs. Dalloway, the dictator, and the relativity paradox ; On Mrs. Dalloway ; Reinventing grief work : Virginia Woolf's feminist representations of mourning in Mrs. Dalloway and To the lighthouse ; The 'death of the soul' in Mrs. Dalloway ; The Paris review perspective ; The pseudo-homeric world of Mrs. Dalloway ; Virginia Woolf's Mrs. Dalloway : 'a well of tears'","016008428","Monograph","Language material ; Text","Volume","","","9781587658419","","","","","Robbins, Dorothy Dodge, editor [person]","Critical insights","","United States of America","Pasadena, California","Salem","2012","","xiii, 359 pages, 24 cm","823.912","YD.2012.a.2242","Psychological fiction, English--History and criticism ; Woolf, Virginia, 1882-1941 ; Married women in literature ; Stream of consciousness fiction, English--History and criticism","Aufsatzsammlung","English","",""
"'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece","'Fastness of their own' : the Galician reception of Virginia Woolf ; 'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies ; 'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; French reception of Woolf : an état présent of études Woofiennes ; From silence to a polyphony of voices : Virginia Woolf's reception in Poland ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"'Fastness of their own' : the Galician reception of Virginia Woolf","'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece ; 'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies ; 'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; French reception of Woolf : an état présent of études Woofiennes ; From silence to a polyphony of voices : Virginia Woolf's reception in Poland ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies","'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece ; 'Fastness of their own' : the Galician reception of Virginia Woolf ; 'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; French reception of Woolf : an état présent of études Woofiennes ; From silence to a polyphony of voices : Virginia Woolf's reception in Poland ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"'It had grown into a machine': transcience of identity and the search for a room of one's own in Quicksand and Plum Bun: a Novel Without a Moral","'The Woolf sting': Sylvia Plath annotating Virginia Woolf ; 'The most amazing senses of her generation': colourist design in Katherine Mansfield's fiction ; An Irish woman poet's room: Eavan Boland's debt to Virginia Woolf ; Destabilizing life writings: narrative and temporal ruptures in The Woman Warrior, China Men, and Orlando ; Elizabeth Bowen and Virginia Woolf: the novelists' art ; Killing the angel and the monster: a comparative and postcolonial analysis of Jean Rhys' Wide Sargasso Sea and Virginia Woolf's The Voyage Out ; Looking through the window: reflections and refractions in Virginia Woolf's A Room of One's Own ; Mrs. Woolf and the critics ; Narrative forms and feminist (dis) contents: an intertextual reading of the prose of Toni Morrison and Virginia Woolf ; Parties, pins, and perspective: Eudora Welty, Virginia Woolf, and matrilinial inheritance ; Raced bodies, corporeal texts: narratives of home and self in Sandra Cisneros' The House on Mango Street ; Rebecca West: twentieth-century heretical humanist ; Spaciousness and subjectivity in Alice Walker's womanist prose: from Virginia Woolf's A Room of One's Own to a garden with 'Every color flower represented' ; The Woolf era ; Virginia Woolf and 20th century women writers ; Virginia Woolf and twentieth century women writers ; Writing was her fighting: Three Guineas as a pacifist response","017581469","Monograph","Language material ; Text","Volume","","","9781619254190","","","","","Artuso, Kathryn Stelmach, editor [person]","Critical insights","","United States of America","Ipswich, Massachusetts","EBSCO Information Services ; Salem","2014","First edition","xxxi, 324 pages, 24 cm","823.912","m15/.11614","English literature--Women authors--20th century--History and criticism ; Influence (Literary, artistic, etc.) ; Woolf, Virginia, 1882-1941--Influence ; Woolf, Virginia, 1882-1941--Criticism and interpretation","Criticsm and interpretation","English","",""
"'Literature is no one's private ground' : the critical and political reception of Virginia Woolf in Sweden","'Country of the moon' and the woman of 'interior monologue' : Virginia Woolf in Greece ; 'Fastness of their own' : the Galician reception of Virginia Woolf ; 'Gaping mouth, but no words' : Virginia Woolf enters the land of butterflies ; Emerging voice : a review of Spanish scholarship on Virginia Woolf ; European dimensions of the Hogarth Press ; French reception of Woolf : an état présent of études Woofiennes ; From silence to a polyphony of voices : Virginia Woolf's reception in Poland ; German reception and criticism of Virginia Woolf : a survey of phases and trends in the twentieth century ; Installing modernism : the reception of Virginia Woolf in the German Democratic Republic ; Modernism, nationalism and feminism : representations of Virginia Woolf in Catalonia ; Portuguese reception of Virginia Woolf ; Reception of Virginia Woolf in Italy ; The reception of Virginia Woolf in Europe ; Timeline : European reception of Virginia Woolf ; Translating Virginia Woolf into French ; Virginia Woolf among writers and critics : the French intellectual scene ; Virginia Woolf and the search for symbolic mothers in modern Spanish fiction : the case of Tres mujeres ; Virginia Woolf's crossings ; Virginia Woolf, with a French twist ; Waves of influence : the Danish reception of Virginia Woolf","019391888","Monograph","Language material ; Text","Online resource","GBB988339","","9781847143051","","","","","Luckhurst, Nicola [person] ; Caws, Mary Ann [person]","The Athlone critical traditions series","volume 1 [The Athlone critical traditions series]","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (xxxvi, 450 pages)","823.912","ELD.DS.418780","Rezeption ; Woolf, Virginia, 1882-1941--Critique et interprétation--Histoire ; Roman anglais--Appréciation--Europe ; Art appreciation ; Woolf, Virginia, 1882-1941--Appreciation--Europe ; English fiction--Appreciation--Europe ; Woolf, Virginia, 1882-1941--Criticism and interpretation--History ; Woolf, Virginia, 1882-1941--Appréciation ; Literatuurreceptie","Criticsm and interpretation ; History","English","",""
"'Mrs Dalloway'","","008358587","Monograph","Language material ; Text","Volume","GB7331030","","9780335008308","Kettle, Arnold","1916-1986","person","author","Kettle, Arnold, 1916-1986, author [person] ; Open University, Nineteenth-Century Novel and its Legacy Course Team [organisation]","A302 ; Arts, a third level course. the nineteenth-century novel and its legacy","30 [A302] ; unit 30 [Arts, a third level course. the nineteenth-century novel and its legacy]","England","Milton Keynes","Open University Press","1973","","30 pages, illustrations, 1 portrait, 30 cm","823.912","","Woolf, Virginia, 1882-1941 ; Fiction in English--Woolf, Virginia--Mrs Dalloway--Critical studies","","English","",""
"'My madness saved me' : the madness and marriage of Virginia Woolf","","013417015","Monograph","Language material ; Text","Volume","GBA810020","","9780765803214","Szasz, Thomas","1920-2012","person","author","Szasz, Thomas, 1920-2012, author [person]","","","England ; United States of America","London ; New Brunswick, New Jersey","Transaction","2006","","xv, 154 pages, 24 cm","823.912","YC.2008.a.915 ; m06/.18857","Novelists, English--20th century--Biography ; Married people--Great Britain--Biography ; Woolf, Leonard, 1880-1969--Marriage ; Literature and mental illness--England--History--20th century ; Woolf, Virginia, 1882-1941--Marriage ; Woolf, Virginia, 1882-1941--Knowledge--Psychology ; Women and literature--England--History--20th century ; Woolf, Virginia, 1882-1941--Psychology","Biography","English","",""
"'My madness saved me' : the madness and marriage of Virginia Woolf","","017710447","Monograph","Language material ; Text","Volume","GBB610119","","9781412863117","Szasz, Thomas","1920-2012","person","author","Szasz, Thomas, 1920-2012, author [person]","","","United States of America","Piscataway","Transaction","2016","","xv, 154 pages, 23 cm","823.912","","Woolf, Virginia, 1882-1941--Marriage ; Woolf, Virginia, 1882-1941--Psychology","","English","",""
